X;ID;dataSetName;archiveType;siteName;latitude;longitude;elevation;region;country;startYear;endYear
[ID75]_Prieto_14_[Col1]_Santiago del Estero_1;75;Prieto_14;documents;Santiago del Estero; -27.76666667; -64.26667;    0.0;South America;Argentina;  1750;1921
[ID76]_Prieto_15_[Col1]_Cordoba_1;76;Prieto_15;documents;Cordoba; -31.00000000; -64.00000;    0.0;South America;Argentina;  1700;1806
[ID77]_Prieto_17_[Col1]_Rio Parana_1;77;Prieto_17;documents;Rio Parana; -30.00000000; -60.00000;    0.0;South America;Argentina;  1590;1805
[ID78]_Prieto_18_[Col1]_Santiago_de_Chile_precipitation;78;Prieto_18;documents;Central Andes snow depth; -33.00000000; -70.00000;NA;South America;Argentina;  1760;1969
[ID79]_Prieto_12_[Col1]_Rio Sali / Rio Dulce_1;79;Prieto_12;documents;Rio Sali / Rio Dulce; -27.00000000; -65.00000;    0.0;South America;Argentina;  1750;1921
[ID81]_Prieto_8_[Col1]_Santa Fe and Corrientes Precipitation_1;81;Prieto_8;documents;Santa Fe and Corrientes Precipitation; -30.00000000; -60.00000;    0.0;South America;Argentina;  1590;1805
[ID82]_Prieto_9_[Col1]_nieve_cordillera_periodico;82;Prieto_9;documents;Central Andes snow occurrence; -33.00000000; -70.00000;NA;South America;Argentina;  1885;1996
[ID84]_Taulis_1_[Col1]_Santiago de Chile_1;84;Taulis_1;documents;Santiago de Chile; -33.38333333; -70.78333;    0.0;South America;Chile;  1540;1993
[ID85]_Garcia-Herrera_1_[Col1]_Combined_Garcia.Herrera_Quinn_ENSO;85;Garcia-Herrera_1;documents;Area de Trujillo;  -8.10000000; -79.01667;    0.0;South America;Peru;  1550;1900
[ID86]_Namaqualand_precip_[Col1]_Namaqualand_1;86;Namaqualand_precip;documents;Namaqualand; -29.00000000;  17.00000;NA;Africa;South Africa;  1817;1900
[ID88]_Lesotho_precip_[Col1]_Lesotho_1;88;Lesotho_precip;documents;Lesotho; -29.50000000;  27.50000;NA;Africa;Lesotho;  1824;1994
[ID89]_Prieto_13_[Col1]_Tucuman_1;89;Prieto_13;documents;Tucuman; -27.03333333; -65.00000;    0.0;South America;Argentina;  1548;1810
[ID91]_Prieto_10_[Col1]_Potosi_1;91;Prieto_10;documents;Potosi; -19.58333333; -65.75000; 4000.0;South America;Bolivia;  1585;1814
[ID92]_Eastern_Cape_precip_[Col1]_Eastern Cape South Africa_1;92;Eastern_Cape_precip;documents;Eastern Cape South Africa; -34.00000000;  24.50000;NA;Africa;South Africa;  1821;1900
[ID93]_Southern_Cape_precip_[Col1]_Southern Cape South Africa_1;93;Southern_Cape_precip;documents;Southern Cape South Africa; -34.00000000;  20.00000;NA;Africa;South Africa;  1821;1900
[ID94]_ITASE_2000_1_Acc_[Col1]_ITASE_00.1_Accumulation;94;ITASE_2000_1_Acc;ice core;ITASE 2000 1 Accumulation; -79.36666667;-111.23333; 1794.0;Antarctica;Antarctica;  1653;1999
[ID95]_Vimeux_1_[Col1]_Illimani_deuterium;95;Vimeux_1;ice core;Illimani deuterium; -16.65000000; -67.78333; 6300.0;South America;Bolivia;   898;1998
[ID97]_Siple_Dome_A_[Col1]_Siple_Dome_A._dD;97;Siple_Dome_A;ice core;Siple Dome A; -81.65000000;-148.80000;  615.0;Antarctica;Antarctica;  1000;1993
[ID98]_Stenni_1_[Col1]_Talos;98;Stenni_1;ice core;Talos; -72.80000000; 159.10000; 2316.0;Antarctica;Antarctica;  1217;1996
[ID99]_DML_Na_[Col1]_DML07_Na;99;DML_Na;ice core;Dronning Maud Land Na; -75.00000000;   0.00000; 2900.0;Antarctica;Antarctica;  1849;1994
[ID100]_Dolleman_[Col1]_Dolleman_d180;100;Dolleman;ice core;Dolleman; -70.56666667; -60.93333;  398.0;Antarctica;Antarctica;  1652;1992
[ID100]_Dolleman_[Col7]_Dolleman_Chem_PC1;100;Dolleman;ice core;Dolleman; -70.56666667; -60.93333;  398.0;Antarctica;Antarctica;  1652;1992
[ID101]_WDC06A_rBC_[Col1]_WDC06A_rBC;101;WDC06A_rBC;ice core;WDC06A black carbon; -79.46666667;-112.08333; 1806.0;Antarctica;Antarctica;  1890;2002
[ID104]_Siple_Dome_B_[Col1]_Siple_DOME_B;104;Siple_Dome_B;ice core;Siple Dome B; -81.65000000;-148.80000;  615.0;Antarctica;Antarctica;  1654;1994
[ID105]_Law_Dome_Chem_[Col1]_Na.uEq.l.;105;Law_Dome_Chem;ice core;Law Dome chemical data; -66.83333333; 112.83333; 1370.0;Antarctica;Antarctica;  1297;1995
[ID105]_Law_Dome_Chem_[Col2]_K.uEq.l.;105;Law_Dome_Chem;ice core;Law Dome chemical data; -66.83333333; 112.83333; 1370.0;Antarctica;Antarctica;  1297;1995
[ID105]_Law_Dome_Chem_[Col3]_Mg.uEq.l.;105;Law_Dome_Chem;ice core;Law Dome chemical data; -66.83333333; 112.83333; 1370.0;Antarctica;Antarctica;  1297;1995
[ID105]_Law_Dome_Chem_[Col4]_Ca.uEq.l.;105;Law_Dome_Chem;ice core;Law Dome chemical data; -66.83333333; 112.83333; 1370.0;Antarctica;Antarctica;  1297;1995
[ID105]_Law_Dome_Chem_[Col5]_MSA.uEq.l.;105;Law_Dome_Chem;ice core;Law Dome chemical data; -66.83333333; 112.83333; 1370.0;Antarctica;Antarctica;  1297;1995
[ID105]_Law_Dome_Chem_[Col6]_Cl.uEq.l.;105;Law_Dome_Chem;ice core;Law Dome chemical data; -66.83333333; 112.83333; 1370.0;Antarctica;Antarctica;  1297;1995
[ID105]_Law_Dome_Chem_[Col7]_NO3.uEq.l.;105;Law_Dome_Chem;ice core;Law Dome chemical data; -66.83333333; 112.83333; 1370.0;Antarctica;Antarctica;  1297;1995
[ID105]_Law_Dome_Chem_[Col8]_SO4.uEq.l.;105;Law_Dome_Chem;ice core;Law Dome chemical data; -66.83333333; 112.83333; 1370.0;Antarctica;Antarctica;  1297;1995
[ID105]_Law_Dome_Chem_[Col9]_nssSO4.uEq.l.;105;Law_Dome_Chem;ice core;Law Dome chemical data; -66.83333333; 112.83333; 1370.0;Antarctica;Antarctica;  1297;1995
[ID110]_Siple_Dome_Na_[Col1]_Siple_Dome_Na;110;Siple_Dome_Na;ice core;Siple Dome Na; -81.65000000;-148.81667;  650.0;Antarctica;Antarctica;     0;1980
[ID113]_Berkner_Island_Accumulation_[Col1]_Berkner_Accumulation;113;Berkner_Island_Accumulation;ice core;Berkner island_Accumulation; -79.60000000; -45.73333;  886.0;Antarctica;Antarctica;  1000;1994
[ID115]_Kellerhals_1_[Col1]_Illimani_NH4;115;Kellerhals_1;ice core;Illimani NH4; -16.65000000; -67.78333; 6300.0;South America;Bolivia;   353;1998
[ID116]_Graf_1_[Col1]_DML_1000_d18O;116;Graf_1;ice core;Dronning Maud Land; -75.00000000;   0.00000; 2900.0;Antarctica;Antarctica;  1025;1997
[ID116]_Graf_1_[Col2]_DML_1000_Accumulation;116;Graf_1;ice core;Dronning Maud Land; -75.00000000;   0.00000; 2900.0;Antarctica;Antarctica;  1025;1997
[ID117]_WDC05A_Acc_[Col1]_WDC05A;117;WDC05A_Acc;ice core;WDC05A Accumulation; -79.45000000;-112.13333; 1759.0;Antarctica;Antarctica;  1775;2004
[ID118]_Thomas_1_[Col1]_Gomez_accumulation;118;Thomas_1;ice core;Gomez accumulation; -73.60000000; -70.35000; 1400.0;Antarctica;Antarctica;  1854;2006
[ID119]_Thomas_2_[Col1]_Gomez_d18O;119;Thomas_2;ice core;Gomez d18O; -73.60000000; -70.35000; 1400.0;Antarctica;Antarctica;  1857;2005
[ID120]_Vostok_Pits_[Col2]_Vostok_d18O;120;Vostok_Pits;ice core;Vostok Pits; -78.45000000; 106.83333; 3500.0;Antarctica;Antarctica;  1774;1999
[ID120]_Vostok_Pits_[Col4]_Vostok_Accumulation;120;Vostok_Pits;ice core;Vostok Pits; -78.45000000; 106.83333; 3500.0;Antarctica;Antarctica;  1774;1999
[ID123]_WDC05Q_Acc_[Col1]_WDC05Q;123;WDC05Q_Acc;ice core;WDC05Q Accumulation; -79.45000000;-112.08333; 1759.0;Antarctica;Antarctica;  1521;2004
[ID126]_Princess_Elizabeth_[Col9]_Princess_Elizabeth_d18O;126;Princess_Elizabeth;ice core;Princess Elizabeth Land; -70.83333333;  77.06667; 1850.0;Antarctica;Antarctica;  1745;1996
[ID126]_Princess_Elizabeth_[Col10]_Princess_Elizabeth_Accmulation;126;Princess_Elizabeth;ice core;Princess Elizabeth Land; -70.83333333;  77.06667; 1850.0;Antarctica;Antarctica;  1745;1996
[ID126]_Princess_Elizabeth_[Col11]_Princess_Elizabeth_Chem_PC1;126;Princess_Elizabeth;ice core;Princess Elizabeth Land; -70.83333333;  77.06667; 1850.0;Antarctica;Antarctica;  1745;1996
