Year;X.ID1._Mayotte_.Col1._Mayotte_d18O;X.ID2._Seychelles_.Col1._Seychelles_d18O;X.ID4._Moorea_.Col1._Moorea_d18O;X.ID10._Rodrigues_SrCa_.Col1._Rodrigues_SrCa;X.ID11._Malindi_Kenya_.Col1._Malindi_d18O;X.ID13._Mafia_.Col1._Mafia_d18O;X.ID14._Madang_.Col1._Madang_d18O;X.ID16._Linsley_7_.Col1._Rarotonga_d18O;X.ID17._Linsley_6_.Col1._Rarotonga_SrCa;X.ID24._Savusavu_d18O_.Col1._Savusavu_d18O;X.ID26._Rabaul_SrCa_.Col1._Rabaul_SrCa;X.ID27._Rarotonga_3R_.Col1._Rarotonga.3R_d18O;X.ID31._Rodrigues_d18O_.Col1._Rodrigues_18O_Yr;X.ID32._Rabaul_d18O_.Col1._Rabaul_d18O;X.ID34._Laing_.Col1._Laing_d18O;X.ID36._Fiji_AB_d18O_.Col1._Fiji_AB_d18O;X.ID37._Fiji_1F_SrCa_.Col1._Fiji_1F_SrCa;X.ID38._Fiji_1F_d18O_.Col1._Fiji_1F_d18O;X.ID43._Bali_Indonesia_.Col1._Bali_d18O;X.ID45._Dunbar_1_.Col1._Urvina_Bay_Coral;X.ID53._LaReunion_.Col1._La_Reunion_d18O;X.ID55._Kavieng_SrCa_.Col1._Kavieng_SrCa;X.ID57._Kavieng_BaCa_.Col1._Kavieng_BaCa;X.ID60._Ifaty4_SrCa_.Col1._Ifaty_4_SrCa;X.ID62._Ifaty1_SrCa_.Col1._Ifaty1_.SrCa;X.ID66._Tonga_TNI2_d18O_.Col1._Tonga_TNI2_d18O;X.ID67._Tonga_TH1_.Col1._Tonga_TH1_d18O;X.ID69._Vanuatu_.Col1._Vanuatu_d18O;X.ID72._Ifaty_d13C_.Col1._d13C_Ifaty;X.ID73._Prieto_4_.Col1._Rio.Mendoza_1;X.ID74._Kalahari_precip_.Col1._Southern.Kalahari_1;X.ID75._Prieto_14_.Col1._Santiago.del.Estero_1;X.ID76._Prieto_15_.Col1._Cordoba_1;X.ID77._Prieto_17_.Col1._Rio.Parana_1;X.ID78._Prieto_18_.Col1._Santiago_de_Chile_precipitation;X.ID79._Prieto_12_.Col1._Rio.Sali...Rio.Dulce_1;X.ID81._Prieto_8_.Col1._Santa.Fe.and.Corrientes.Precipitation_1;X.ID82._Prieto_9_.Col1._nieve_cordillera_periodico;X.ID84._Taulis_1_.Col1._Santiago.de.Chile_1;X.ID85._Garcia.Herrera_1_.Col1._Combined_Garcia.Herrera_Quinn_ENSO;X.ID86._Namaqualand_precip_.Col1._Namaqualand_1;X.ID88._Lesotho_precip_.Col1._Lesotho_1;X.ID89._Prieto_13_.Col1._Tucuman_1;X.ID91._Prieto_10_.Col1._Potosi_1;X.ID92._Eastern_Cape_precip_.Col1._Eastern.Cape.South.Africa_1;X.ID93._Southern_Cape_precip_.Col1._Southern.Cape.South.Africa_1;X.ID94._ITASE_2000_1_Acc_.Col1._ITASE_00.1_Accumulation;X.ID95._Vimeux_1_.Col1._Illimani_deuterium;X.ID97._Siple_Dome_A_.Col1._Siple_Dome_A._dD;X.ID98._Stenni_1_.Col1._Talos;X.ID99._DML_Na_.Col1._DML07_Na;X.ID100._Dolleman_.Col1._Dolleman_d180;X.ID100._Dolleman_.Col7._Dolleman_Chem_PC1;X.ID101._WDC06A_rBC_.Col1._WDC06A_rBC;X.ID104._Siple_Dome_B_.Col1._Siple_DOME_B;X.ID105._Law_Dome_Chem_.Col1._Na.uEq.l.;X.ID105._Law_Dome_Chem_.Col2._K.uEq.l.;X.ID105._Law_Dome_Chem_.Col3._Mg.uEq.l.;X.ID105._Law_Dome_Chem_.Col4._Ca.uEq.l.;X.ID105._Law_Dome_Chem_.Col5._MSA.uEq.l.;X.ID105._Law_Dome_Chem_.Col6._Cl.uEq.l.;X.ID105._Law_Dome_Chem_.Col7._NO3.uEq.l.;X.ID105._Law_Dome_Chem_.Col8._SO4.uEq.l.;X.ID105._Law_Dome_Chem_.Col9._nssSO4.uEq.l.;X.ID110._Siple_Dome_Na_.Col1._Siple_Dome_Na;X.ID113._Berkner_Island_Accumulation_.Col1._Berkner_Accumulation;X.ID115._Kellerhals_1_.Col1._Illimani_NH4;X.ID116._Graf_1_.Col1._DML_1000_d18O;X.ID116._Graf_1_.Col2._DML_1000_Accumulation;X.ID117._WDC05A_Acc_.Col1._WDC05A;X.ID118._Thomas_1_.Col1._Gomez_accumulation;X.ID119._Thomas_2_.Col1._Gomez_d18O;X.ID120._Vostok_Pits_.Col2._Vostok_d18O;X.ID120._Vostok_Pits_.Col4._Vostok_Accumulation;X.ID123._WDC05Q_Acc_.Col1._WDC05Q;X.ID126._Princess_Elizabeth_.Col9._Princess_Elizabeth_d18O;X.ID126._Princess_Elizabeth_.Col10._Princess_Elizabeth_Accmulation;X.ID126._Princess_Elizabeth_.Col11._Princess_Elizabeth_Chem_PC1;X.ID127._Aristarain_1_.Col1._James_Ross;X.ID129._Boes_1_.Col1._Puyehue_varve_thickness;X.ID131._Plomo_Lake_.Col1._Plomo_precip;X.ID132._Pumacocha_d180_.Col1._Pumacocha_d18O;X.ID134._Lake_Challa_.Col1._Lake_Challa_varve_thickness;X.ID137._Rein_1_.Col1._X106KL_lithics;X.ID140._Cascayunga_Peru_.Col1._Cascayunga_d18O;X.ID141._Rasbury_1_.Col1._Avaiki_ASM1;X.ID143._WA_Callitris_.Col6._SW_Callitris_LKG_LTY_Signalfree_2;X.ID147._BawBaw_.Col6._BawBaw_Signalfree_2;X.ID148._TR_Cluster_CAN22_.Col6._NOPU_Cluster_9_Data_Signalfree_2;X.ID152._TR_Cluster_CAN5_.Col6._NOPU_Cluster_8_Data_Signalfree_2;X.ID156._Buckleys_Chance_.Col6._BCH_Signalfree_2;X.ID158._TR_Cluster_CAN15_.Col6._NOPU_Cluster_7x_Data_Signalfree_2;X.ID162._Gleeson_3_.Col6._TM4_Signalfree_2;X.ID166._Gleeson_5_.Col6._HME_Signalfree_2;X.ID169._CTP_East_.Col6._CTP_East_BLT_RFR_Signalfree_2;X.ID176._arge021_.Col6._HUI_Christie;X.ID178._arge019_.Col6._arge019_Signalfree_2;X.ID181._chil002_.Col6._chil002_Signalfree_2;X.ID202._chil008_.Col6._chil008_Signalfree_2;X.ID206._arge035_.Col6._arge035_Signalfree_2;X.ID216._Ahaura_Treering_.Col6._Ahaura_EC_Signalfree_2;X.ID219._arge029_.Col6._arge029_Signalfree_2;X.ID225._arge005_.Col6._arge005_Signalfree_2;X.ID284._arge051_.Col6._arge051_Signalfree_2;X.ID285._arge050_.Col6._arge050_Signalfree_2;X.ID287._arge048_.Col6._arge048_Signalfree_2;X.ID298._TR_Cluster_CAN18_.Col6._NOPU_Cluster_6_Data_Signalfree_2;X.ID311._NI_LIBI_Composite_1_.Col6._NI_LIBI_Composite_1_Signalfree_2;X.ID317._TR_Cluster_CAN21_.Col6._C.Andes_Cluster_17_Data_Signalfree_2;X.ID318._NI_LIBI_URW_.Col6._URW_newz063_Signalfree_2;X.ID319._NI_LIBI_TAK_.Col6._TAK_newz062_Signalfree_2;X.ID320._NI_LIBI_Conmposite_2_.Col6._NI_LIBI_Composite_2_Signalfree_2;X.ID321._SI_LIBI_FLA_.Col6._FLA_newz065_Signalfree_2;X.ID325._Srur_1_.Col6._bajoco_Signalfree_2;X.ID331._Stew_Isl_HABI_composite_.Col6._Stewart_Island_HABI_composite_Signalfree_2;X.ID335._SI_LIBI_MOA_.Col6._MOA_newz067_Signalfree_2;X.ID347._TR_Cluster_CAN13_.Col6._C.Andes_Cluster_10A_NEU_Data_Signalfree_2;X.ID348._TR_Cluster_CAN8_.Col6._C.Andes_Cluster_10B_Data_Signalfree_2;X.ID350._NT_Callitris_.Col6._NT_Signalfree_2;X.ID352._NOA_7_.Col6._LMC_Signalfree_2;X.ID353._NOA_25_.Col6._sala_Signalfree_2;X.ID359._safr001_.Col6._safr001_Signalfree_2;X.ID361._Pink_Pine_NZ_.Col6._New_Fenwick_Composite_Signalfree_2;X.ID362._Teak_Indonesia_.Col6._java_Signalfree_2;X.ID363._Therell_1_.Col6._zim_raw_Signalfree_2;X.ID364._LeQuesne_PP_recon_.Col1._LeQuesne_C.Chile.PP;X.ID370._TR_Cluster_CAN17_.Col6._NOPU_Cluster_1_Data_Signalfree_2;X.ID372._TR_Cluster_NWA2_.Col6._NOA_Cluster_4_Data_Signalfree_2;X.ID374._TR_Cluster_SAN5_.Col6._NOPU_Cluster_18_Data_Signalfree_2;X.ID375._Kauri_NZ_.Col6._AGAUm05_Signalfree_2;X.ID385._Huon_Pine_Tasmania_.Col1._MtRead_TT_recon;X.ID387._TR_Cluster_NWA4_.Col6._NOA_Cluster_3x_Data_Signalfree_2;X.ID396._TR_Cluster_SAN6_.Col6._NOPU_Cluster_10_Data_Signalfree_2;X.ID406._TR_Cluster_CAN27_.Col6._NOPU_Cluster_5x_Data_Signalfree_2;X.ID410._TR_Cluster_CAN10_.Col6._C.Andes_Cluster_8_Data_Signalfree_2;X.ID411._TR_Cluster_CAN1_.Col6._C.Andes_Cluster_9_Data_Signalfree_2;X.ID412._TR_Cluster_CAN9_.Col6._C.Andes_Cluster_7AN_Data_Signalfree_2;X.ID415._TR_Cluster_CAN33_.Col6._Chalten_1_Signalfree_2;X.ID416._TR_Cluster_CAN34_.Col6._Chalten_2_Signalfree_2;X.ID417._TR_Cluster_CAN32_.Col6._Chalten_3_Signalfree_2;X.ID419._TR_Cluster_NWA1_.Col6._NOA_Cluster_1B_Data_Signalfree_2;X.ID420._TR_Cluster_NWA5_.Col6._NOA_Cluster_2x_Data_Signalfree_2;X.ID422._TR_Cluster_CAN20_.Col6._C.Andes_Cluster_3A_Data_Signalfree_2;X.ID423._TR_Cluster_CAN23_.Col6._C.Andes_Cluster_3B_Data_Signalfree_2;X.ID424._TR_Cluster_CAN25_.Col6._C.Andes_Cluster_3C_Data_Signalfree_2;X.ID425._TR_Cluster_CAN26_.Col6._C.Andes_Cluster_3D_Data_Signalfree_2;X.ID427._TR_Cluster_CAN3_.Col6._C.Andes_Cluster_7B_Data_Signalfree_2;X.ID431._Mangawhero_NZ_.Col6._MANGAWE_Signalfree_2;X.ID432._TR_Cluster_CAN12_.Col6._C.Andes_Cluster_6A_Data_Signalfree_2;X.ID435._TR_Cluster_CAN6_.Col6._C.Andes_Cluster_5N_Data_Signalfree_2;X.ID437._Flores_d18O_.Col1._Flores_d18O;X.ID438._Cape.Range..Western.Australia_.Col1._d18OCR.1;X.ID439._Law_Dome_Na_new_.Col1._Law_Dome_Na;X.ID440._James.Ross.Island.2014_.Col1._JRI_dD_Jan_Dec;X.ID440._James.Ross.Island.2014_.Col2._JRI_melt_thick_Jan_Dec;X.ID441._Law.Dome.Summer.Sea.Salt_.Col1._Law_Dome_SSS;X.ID442._Chillagoe..Queensland_.Col1._d18OCH.1;X.ID443._Solomon_Stal_.Col4._d18OcarbVPDB;X.ID445._Vanuatu_Stal_.Col3._d18OcarbVPDB;X.ID451._NSW_Rainfall_.Col1._Eastern.NSW.rainfall.index;X.ID452._Tonga_TH1_.Col1._Ha.afera_SrCa;X.ID548._indo002_crns_col.txt_.Col1._indo002Signalfree_2;X.ID549._indo003_crns_col.txt_.Col1._indo003Signalfree_2;X.ID550._indo004_crns_col.txt_.Col1._indo004Signalfree_2;X.ID551._indo005_crns_col.txt_.Col1._indo005Signalfree_2;X.ID552._indo006_crns_col.txt_.Col1._indo006Signalfree_2;X.ID553._indo007_crns_col.txt_.Col1._indo007Signalfree_2;X.ID554._indo008_crns_col.txt_.Col1._indo008Signalfree_2;X.ID588._DeJong_LagunaChepical_.Col1._temperature_Laguna_Chepical;X.ID589._Gallego_ASWI_2015_.Col1._ASWI_West_Africa;X.ID590._Gallego_WI_2015_.Col1._WI...._West_Africa_WI;X.ID591._Hannaford_Shiplogs_Mthatha_.Col1._1_Mthatha;X.ID592._Hannaford_Shiplogs_RNP_.Col1._1_Royal_National_Park;X.ID597._Burdekin_River_Recon_Update_.Col1._Rec.Burdekin.km3_Burdekin_River;X.ID599._Nash.Natal.documentaries_.Col1._1_Madagaskar;X.ID600._LagoPlomo2015_.Col1._tempanom.SONDJF_Lago_Plomo;X.ID602._Roberts_LawDome_Accumulation_.Col1._Power.law.accumulation..ice.equivalent.m.y._Law_Dome_Summit_South;X.ID603._Jarvis_Thompson_2015_SrCa_.Col1._Jarvis.Sr.Ca..mmol.mol..10.year.smoothed...detrended_Jarvis;X.ID607._Pafuri2015Baobab13C_.Col1._d13C_Pafuri;X.ID608._Zinke_2015_HoutmanAbrolhos_.Col1._ssta.SrCa.por61.90.Hai_Houtman_Abrolhos;X.ID609._Zinke_2015_NingalooReef_d18O_.Col1._ssta.SrCa.por61.90.Ning_Ningaloo_Reef;X.ID610._Zinke_2015_Rowley_SrCa_.Col1._ssta.SrCa.por61.90.Rowley_Rowley;X.ID611._Zinke_2015_WestAustralia_SST_recon_.Col1._ssta.SrCa.por61.90.WA_Western_Australia;X.ID612._Ifaty.1.d18O.Z14_.Col1._sst.d18OPor.61.90_Ifaty_Reef;X.ID613._AUSL037_Australasia.JunaDownsGully.ODonnell.2015_.Col6._ausl037_Signalfree_2_Juna_Downs_Gully;X.ID614._Australasia.SWupdate.Allen.2015_.Col6._SWupdate_CLH_ver1_Signalfree_2_CTP_West_Tasmania;X.ID615._Austalasia.TheWalls.Allen.2011_.Col6._TheWalls1_Signalfree_2_The_Walls_of_Jerusalem;X.IDP4840._Ocean2kHR.IndianMayotteZinke20082009_.Col1._Sr_Ca;X.IDP4842._Ocean2kHR.IndianMentawaiAbram2008_.Col1._d18O;X.IDP4835._Ocean2kHR.IndianKenyaNakamura2009_.Col1._d18O;X.IDP4863._Ocean2kHR.IndianWAGrowthClerkeCooper2012_.Col1._calcificationRate;X.IDP4873._Ocean2kHR.IndianWAGrowthImperieuseCooper2012_.Col1._calcificationRate;X.IDP4854._Ocean2kHR.IndianWAGrowthBundegiCooper2012_.Col1._calcificationRate;X.IDP4886._Ocean2kHR.IndianWAGrowthTantabiddiCooper2012_.Col1._calcificationRate;X.IDP4866._Ocean2kHR.IndianWAGrowthCoralBayCooper2012_.Col1._calcificationRate;X.IDP4851._Ocean2kHR.IndianWAGrowthAbrolhosCooper2012_.Col1._calcificationRate;X.IDP4923._Ocean2kHR.PacificLinsley2006Rarotongad18O99_.Col1._d18O;X.IDP4909._Ocean2kHR.PacificGorman2012Vanuatu_.Col1._d18O;X.IDP4903._Ocean2kHR.PacificGBRDruffel1999_.Col1._d18O;X.IDP4890._Ocean2kHR.PacificBunakenCharles2003_.Col1._d18O;X.IDP4934._Ocean2kHR.PacificPNGTudhope1995_.Col1._d18O;X.IDP4947._Ocean2kHR.PacificVanuatuKilbourne2004_.Col1._d18O;X.IDP4948._Ocean2kHR.PacificVanuatuKilbourne2004_.Col1._Sr_Ca;X.IDP4928._Ocean2kHR.PacificNauruGuilderson1999_.Col1._d18O;X.IDP4905._Ocean2kHR.PacificGBRWei2009_.Col1._d18O;X.IDP1._Africa.ColdAirCave.Sundqvist.2013_.Col1._temperature;X.IDP354._Asia.MUNATG_.Col1._trsgi;X.IDP60._Ant.WDC06A.Steig.2013_.Col1._d18O;X.IDP38._Ant.TaylorDome.Steig.2000_.Col1._d18O;X.IDP4982._SAm.LagunaEscondida.Elbert.2013_.Col1._temperature;X.IDP4823._Ocean2kHR.IndianAbrolhosKuhnert1999_.Col1._d13C;X.IDP4930._Ocean2kHR.PacificNewCaledoniaDelong2012_.Col1._Sr_Ca;X.IDP4983._SAm.QuelccayaIce.Thompson.2013_.Col1._d18OiceSMOW;X.IDP4984._SAm.QuelccayaIceThompson2013_.Col1._iceacc_m;X.IDP28._Ant.MillIslandBoreholeReconstruction_.Col1._Temperature;X.IDP58._Ant.WDC05ABoreholeTreconstruction_.Col1._Temperature;X.IDP486._Aus.Duckhole.Saunders.2013_.Col1._RABD660_670_TotalChlorin2__waterContent;X.IDP4690._O2kLR.PiscoCentra.Gutierrez.2011_.Col1._temp_C;X.ID616._SouthAmerica.ValidiviaCity.Gonzalez.Reyes.2013_.Col1._Annual_JanDec_Pp_Valdivia_city;X.ID617._SouthAmerica.BiobioPueloMaule.Munoz.2016_.Col1._biobio_Biobio_Puelo_Maule_Rivers;X.ID617._SouthAmerica.BiobioPueloMaule.Munoz.2016_.Col2._maule_Biobio_Puelo_Maule_Rivers;X.ID617._SouthAmerica.BiobioPueloMaule.Munoz.2016_.Col3._puelo_Biobio_Puelo_Maule_Rivers;X.ID618._SouthAmerica.RioBermejo.Prieto.2015_.Col1._cuantit_Rio_Bermejo;Villalba2012_Austrocedrus;Villalba2012_Araucaria;Villalba2012_Halocarpus;Villalba2012_Nothofagus;Villalba2012_Lagarostrobos;Villalba2012_Phyllocladus;EDC.Dome.C;Vostok.composite.VRS13...a.stack.of.15.individual.isotopic.records.from.snow.pits.and.shallow.cores.recovered.in.the.vicinity.of.Vostok.Station.;B31Site.DML07;B32Site.DML05;B33Site.DML17;Eastern.DML.L89..DML.Ice.divide.traverse.L.;DML.Plateau.Amundsenisen.FB96DML01;DML.Plateau.Amundsenisen.FB96DML02;DML.Plateau.Amundsenisen.FB97DML03;DML.Plateau.Amundsenisen.FB97DML04;DML.Plateau.Amundsenisen.FB97DML05;DML.Plateau.Amundsenisen.FB97DML06;DML.Plateau.Amundsenisen.FB97DML07;DML.Plateau.Amundsenisen.FB97DML08;DML.Plateau.Amundsenisen.FB97DML09;DML.Plateau.Amundsenisen.FB97DML10;DML.Plateau..DML11..FB9803;DML.Plateau..DML18..FB9804;DML.Plateau..DML19..FB9805;DML.Plateau..DML20..FB9808;DML.Plateau..DML03..FB9809;DML.Plateau..DML21..FB9810;DML.Plateau..DML22..FB9811;DML.Plateau..DML23..FB9812;DML.Plateau..DML15..FB9814;DML.Plateau..DML14..FB9815;DML.Plateau..DML13..FB9816;DML.Plateau..DML12..FB9817;DML.Plateau..DML02..SS9813;US.ITASE.2002.4;Plateau.Remote;TALDICE..Talos.Dome;TD96.Talos.Dome;SPRESSO..South.Pole.;NUS.08.7;NUS.07.1;X400th.km;NVFL.1;PV.10;DSS.Law.Dome;X105th.km;Berkner.Island..South..B25;Gomez;James.Ross.Island;Dyer.Plateau;Bruce.Plateau;Ferrigno;Siple.Station;WDC05A;WDC06A;US.ITASE.1999.1;US.ITASE.2000.1;US.ITASE.2000.3;US.ITASE.2000.4;US.ITASE.2000.5;US.ITASE.2000.6;US.ITASE.2001.2;US.ITASE.2001.3;US.ITASE.2001.5;US.ITASE.2002.1;US.ITASE.2002.2;RICE..Rosevelt.Island.;Hercules.N.e9.v.e9.;VLG;Mt.Erebus.Saddle...MES;Whitehall.Glacier.WGH;Taylor.Dome;IND.22B4.Coastal.DML;IND.25B5.Coastal.DML;DML.Fimbulisen.S20;DML.Fimbulisen.S100;DML.Ritscherflya.E91;DML.Georg.von.Neumayer.Station.B04;DML.Plateau..Kottas.Camp..FB9802;Quelccaya_accumulation;Quelccaya_d18O;Lagu_Aculeo;Cariaco;CAN6;CAN11;SANTA_LUCIA;CAN9;CAN24;CAN_4;CAN2;CAN31;GLACIAR_FRIAS;NWA_2;SAN2;CAN16;CAN19;CAN14;Vilches;Campis_DJF;Tucuman_DJF;Corrientes_DJF;Rio_Gallegos_DJF
1000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0.1166;-1.3384;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0.3684;-3.3942;-1.5284;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.3786;1.2991;-0.8282;NA;NA;NA;NA;NA;NA;-0.3968;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0.141;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.2077;-0.1004;-0.1515;NA;NA;NA;NA;NA;1.4314;-0.632;0.0373;0.344;-0.8572;-0.8484;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-2.643;NA;NA;NA;NA;NA;NA;NA;1.8363;NA;2.3017;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.9684;NA;0.4661;NA;NA;-0.6414;-1.4246;NA;0.286;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-1.1172;NA;0.5642;-0.6356;0.3841;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-1.0481;-0.628;NA;NA;NA;NA;NA;NA;NA;1.4043;NA;-1.2309;NA;-0.2909;NA;NA;NA;NA;0.6532;-0.3111;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.101;NA;NA;NA;NA;-0.7976;NA;NA;NA;NA;NA;NA;NA;-3.329;0.3972;-0.8302;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1001;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0.1237;-1.5672;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-1.0379;-1.6676;-1.5284;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.8497;-0.4209;-1.1754;NA;NA;NA;NA;NA;NA;1.0725;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0.5162;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0.5809;-1.3575;0.0995;NA;NA;NA;NA;NA;1.5426;-0.8694;-1.3901;0.2002;-1.0345;-1.6068;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-2.6111;NA;NA;NA;NA;NA;NA;NA;-0.2418;NA;3.922;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.2611;0.5927;0.5465;NA;NA;-0.3072;-1.4292;NA;0.282;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.1308;NA;-1.1172;NA;0.4839;-0.6796;0.1354;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-1.3705;-0.628;NA;NA;NA;NA;NA;NA;NA;1.2682;NA;-0.5006;NA;1.2766;NA;NA;NA;NA;0.6111;-0.2895;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.7972;NA;NA;NA;NA;0.674;NA;NA;NA;NA;NA;NA;NA;-1.2781;-0.6833;-0.8302;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1002;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0.1095;-1.1202;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-1.7276;-0.5606;-1.1551;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2.4779;0.2671;-1.4928;NA;NA;NA;NA;NA;NA;1.0849;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0.1212;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.602;-0.5838;-0.4115;NA;NA;NA;NA;NA;1.6538;-2.26;-0.3754;0.1151;-1.0598;0.8392;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-2.5792;NA;NA;NA;NA;NA;NA;NA;0.1493;NA;1.9606;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.0383;NA;0.7465;NA;NA;0.0296;-1.4337;NA;0.2779;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0.0824;NA;-1.1172;NA;-0.02;-0.048;-0.214;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-1.4835;-0.0316;NA;NA;NA;NA;NA;NA;NA;-0.0556;NA;0.8835;NA;0.6737;NA;NA;NA;NA;0.4636;0.5695;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0.8841;NA;NA;NA;NA;0.674;NA;NA;NA;NA;NA;NA;NA;0.7297;-0.6833;-0.7746;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
