,CMIP6_0,CMIP6_1,CMIP6_2,CMIP6_3,CMIP6_4,CMIP6_5,CMIP6_6,CMIP6_7,CMIP6_8,CMIP6_9,CMIP6_10,CMIP6_11,CMIP6_12,CMIP6_13,CMIP6_14,CMIP6_15,CMIP6_16,CMIP6_17,CMIP6_18,CMIP6_19,CMIP6_20,CMIP6_21,CMIP6_22,CMIP6_23,CMIP6_24,CMIP6_25,CMIP6_26,CMIP6_27,CMIP6_28,CMIP6_29,CMIP6_30,CMIP6_31,CMIP6_32,CMIP6_33,CMIP6_34,CMIP5_0,CMIP5_1,CMIP5_2,CMIP5_3,CMIP5_4,CMIP5_5,CMIP5_6,CMIP5_7,CMIP5_8,CMIP5_9,CMIP5_10,CMIP5_11,CMIP5_12,CMIP5_13,CMIP5_14,CMIP5_15,CMIP5_16,CMIP5_17,CMIP5_18,CMIP5_19,CMIP5_20,CMIP5_21,CMIP5_22,CMIP5_23,CMIP5_24,CMIP5_25,CMIP5_26,CMIP5_27,CMIP5_28,CMIP5_29,CMIP5_30,CMIP5_31,CMIP5_32,CMIP5_33,CMIP5_34,MIROC6_0,MIROC6_1,MIROC6_2,MIROC6_3,MIROC6_4,MIROC6_5,MIROC6_6,MIROC6_7,MIROC6_8,MIROC6_9,MIROC6_10,MIROC6_11,MIROC6_12,MIROC6_13,MIROC6_14,MIROC6_15,MIROC6_16,MIROC6_17,MIROC6_18,MIROC6_19,MIROC6_20,MIROC6_21,MIROC6_22,MIROC6_23,MIROC6_24,MIROC6_25,MIROC6_26,MIROC6_27,MIROC6_28,MIROC6_29,MIROC6_30,MIROC6_31,MIROC6_32,MIROC6_33,MIROC6_34,MIROC6_35,MIROC6_36,MIROC6_37,MIROC6_38,MIROC6_39,MIROC6_40,MIROC6_41,MIROC6_42,MIROC6_43,MIROC6_44,MIROC6_45,MIROC6_46,MIROC6_47,MIROC6_48,MIROC6_49,stations,GPCCV2018,CRU 4.03
mean,-3.7924,-2.1907,-2.0526,-1.9782,-1.8904,-1.3855,-1.2858,-1.2106,-1.1927,-1.1864,-1.0612,-0.9876,-0.9738,-0.9664,-0.9652,-0.9598,-0.8938,-0.8076,-0.7491,-0.716,-0.5779,-0.5499,-0.204,-0.1194,-0.0866,-0.0066,-0.0046,0.1511,0.2323,0.247,0.2553,0.3193,0.6464,0.9452,1.8087,-3.8901,-2.0063,-1.854,-1.7527,-1.6259,-1.3419,-1.0913,-1.0324,-1.0105,-0.9356,-0.8508,-0.8372,-0.7652,-0.6709,-0.5737,-0.5257,-0.4814,-0.4199,-0.3862,-0.3215,-0.2647,-0.1568,-0.0993,-0.0269,-0.001,0.2247,0.2713,0.332,0.3547,0.4452,0.484,0.6312,0.8732,1.0003,1.0617,-2.7233,-2.2842,-2.0526,-1.7114,-1.4674,-1.3458,-1.3439,-1.229,-1.1683,-1.12,-0.9722,-0.922,-0.8526,-0.7809,-0.7592,-0.7482,-0.7372,-0.6559,-0.6348,-0.3756,-0.3636,-0.2867,-0.2114,-0.2105,-0.1342,-0.0966,-0.0798,-0.0333,0.1338,0.1465,0.2075,0.2937,0.3232,0.3242,0.3254,0.3283,0.4288,0.5363,0.5525,0.5553,0.6445,0.6665,0.6708,1.1166,1.1659,1.3797,1.5698,1.6892,1.7889,2.0451,-2.182,-1.3732,-3.075
p95,-1.7848,1.0836,0.042,-0.1392,-0.5547,0.2319,0.2413,0.128,2.4641,1.8144,0.7675,1.3695,0.7888,0.2073,0.3487,0.504,-0.2236,0.4922,2.3235,0.8663,0.1126,0.8809,1.5372,1.8026,0.809,0.9055,1.84,0.9169,2.2415,1.1837,1.7138,1.3135,2.2844,3.4118,4.4535,-1.1961,0.0451,-0.9573,-0.2527,-0.5679,0.8783,0.2639,0.677,0.0751,0.2358,0.8412,0.1892,0.7618,0.7915,0.346,-0.0821,0.306,1.3161,1.7227,1.7355,0.7416,1.4908,0.9501,2.2107,1.301,1.4264,1.2182,2.2212,2.1352,1.9587,2.1078,2.1571,2.5105,3.0504,3.7531,-0.9675,-0.5415,0.0347,1.1995,0.2604,0.3095,1.7833,1.2012,0.9657,0.5772,1.366,1.3835,2.2845,0.2894,1.1908,0.2925,1.5292,2.8348,2.3819,1.6299,2.2349,1.7463,1.7354,1.5866,2.898,1.9778,1.026,1.6639,2.4369,2.7559,2.5589,2.6512,2.4861,3.9357,2.4856,2.5793,1.83,2.291,3.3352,2.0301,2.6938,3.1844,2.3594,3.6241,3.9812,3.4793,4.2033,3.3732,3.7495,3.3197,0.2918,0.8853,-1.0956
p05,-5.1929,-5.942,-3.3491,-4.3119,-3.4187,-3.0342,-2.5253,-3.0717,-7.253,-3.6488,-2.0871,-3.3441,-2.5494,-1.8848,-1.7548,-2.7695,-1.3442,-1.8078,-2.5386,-2.4508,-1.7023,-1.9745,-1.8498,-2.594,-1.3749,-1.4788,-1.2313,-0.803,-1.7027,-0.5,-1.4388,-0.8457,-0.4104,-1.59,0.041,-6.308,-3.4381,-3.4284,-3.0039,-3.2309,-3.6498,-2.9185,-3.1074,-2.4089,-2.2463,-3.7186,-1.8225,-1.8929,-1.7673,-2.2834,-1.0464,-1.9736,-3.3103,-1.751,-1.7106,-1.5644,-1.5222,-0.8374,-2.1864,-1.029,-1.3441,-0.485,-1.6452,-1.3148,-0.7346,-1.2716,-1.2835,-0.5212,-1.3751,-1.8928,-4.7628,-4.4996,-3.8912,-3.8186,-3.0853,-2.8344,-4.3102,-2.9851,-4.2014,-2.5559,-3.2405,-3.8974,-2.7966,-2.7006,-2.7326,-2.8972,-3.8038,-2.7157,-2.6028,-1.8174,-2.9333,-2.3924,-2.3757,-1.6912,-2.2277,-1.2425,-2.0207,-1.1232,-1.4389,-1.2574,-2.5228,-2.8192,-1.6272,-2.7081,-2.362,-1.5218,-1.0126,-1.8522,-2.3199,-1.2991,-1.1646,-2.1994,-1.3144,-0.5626,-1.6156,-0.7376,-1.305,-0.6513,-1.3142,0.3481,-5.1161,-3.8912,-5.8161
