,CMIP6_0,CMIP6_1,CMIP6_2,CMIP6_3,CMIP6_4,CMIP6_5,CMIP6_6,CMIP6_7,CMIP6_8,CMIP6_9,CMIP6_10,CMIP6_11,CMIP6_12,CMIP6_13,CMIP6_14,CMIP6_15,CMIP6_16,CMIP6_17,CMIP6_18,CMIP6_19,CMIP6_20,CMIP6_21,CMIP6_22,CMIP6_23,CMIP6_24,CMIP6_25,CMIP6_26,CMIP6_27,CMIP6_28,CMIP6_29,CMIP6_30,CMIP6_31,CMIP6_32,CMIP6_33,CMIP6_34,CMIP5_0,CMIP5_1,CMIP5_2,CMIP5_3,CMIP5_4,CMIP5_5,CMIP5_6,CMIP5_7,CMIP5_8,CMIP5_9,CMIP5_10,CMIP5_11,CMIP5_12,CMIP5_13,CMIP5_14,CMIP5_15,CMIP5_16,CMIP5_17,CMIP5_18,CMIP5_19,CMIP5_20,CMIP5_21,CMIP5_22,CMIP5_23,CMIP5_24,CMIP5_25,CMIP5_26,CMIP5_27,CMIP5_28,CMIP5_29,CMIP5_30,CMIP5_31,CMIP5_32,CMIP5_33,CMIP5_34,MIROC6_0,MIROC6_1,MIROC6_2,MIROC6_3,MIROC6_4,MIROC6_5,MIROC6_6,MIROC6_7,MIROC6_8,MIROC6_9,MIROC6_10,MIROC6_11,MIROC6_12,MIROC6_13,MIROC6_14,MIROC6_15,MIROC6_16,MIROC6_17,MIROC6_18,MIROC6_19,MIROC6_20,MIROC6_21,MIROC6_22,MIROC6_23,MIROC6_24,MIROC6_25,MIROC6_26,MIROC6_27,MIROC6_28,MIROC6_29,MIROC6_30,MIROC6_31,MIROC6_32,MIROC6_33,MIROC6_34,MIROC6_35,MIROC6_36,MIROC6_37,MIROC6_38,MIROC6_39,MIROC6_40,MIROC6_41,MIROC6_42,MIROC6_43,MIROC6_44,MIROC6_45,MIROC6_46,MIROC6_47,MIROC6_48,MIROC6_49
mean,-3.4975,-2.9836,-2.7839,-2.7166,-2.6334,-2.3939,-2.3605,-1.7854,-1.7171,-1.7116,-1.573,-1.4771,-1.3807,-1.3306,-1.2549,-1.1963,-1.1333,-1.1139,-1.029,-0.9993,-0.988,-0.9806,-0.9124,-0.8205,-0.7829,-0.7667,-0.6906,-0.5904,-0.5145,-0.5122,-0.4338,-0.4186,-0.3804,-0.3322,-0.2547,-2.7139,-1.9201,-1.8331,-1.7432,-1.6579,-1.6369,-1.5214,-1.4263,-1.3925,-1.383,-1.3626,-1.2748,-1.2572,-1.1702,-1.1686,-1.1053,-1.0736,-1.0644,-1.0305,-1.0142,-0.9091,-0.8484,-0.847,-0.7896,-0.7714,-0.7536,-0.6426,-0.6264,-0.5948,-0.4758,-0.4199,-0.3894,-0.3693,-0.2645,-0.2427,-1.9073,-1.8735,-1.8277,-1.8255,-1.6703,-1.6062,-1.561,-1.5006,-1.4725,-1.4707,-1.4665,-1.4392,-1.438,-1.424,-1.3522,-1.3348,-1.3309,-1.2728,-1.2536,-1.2486,-1.2422,-1.2403,-1.2202,-1.2194,-1.215,-1.1994,-1.1963,-1.1887,-1.1775,-1.1555,-1.1174,-1.0735,-1.053,-0.9897,-0.9334,-0.9268,-0.8991,-0.8674,-0.7725,-0.7419,-0.7354,-0.6652,-0.5556,-0.5393,-0.5381,-0.518,-0.4477,-0.3904,-0.3571,-0.3296
p95,-2.922,-2.2863,-2.1407,-1.9708,-1.9368,-1.3018,-1.8485,-1.3032,-1.257,-1.1017,-1.2333,-0.9901,-0.9041,-1.0178,-0.6479,-0.6641,-0.6331,-0.7253,-0.5862,-0.8196,-0.7896,-0.5874,-0.6983,-0.4909,-0.5079,-0.4231,-0.4543,-0.1563,-0.3129,-0.2068,0.1073,-0.0686,-0.0121,-0.1137,0.1995,-2.0598,-1.2253,-1.2473,-1.0731,-1.3053,-1.2072,-0.4952,-0.9112,-0.9424,-1.1604,-0.9595,-0.5561,-0.921,-0.7732,-0.6443,-0.7231,-0.6568,-0.3501,-0.7763,-0.6965,-0.3755,-0.5165,-0.6324,-0.3648,-0.4425,-0.4467,-0.4076,-0.2746,-0.3204,0.0734,-0.0449,0.3491,-0.0598,0.1665,-0.0012,-1.3263,-1.0981,-1.146,-1.3288,-1.1189,-1.0466,-0.7527,-0.9343,-0.9754,-0.7649,-0.9948,-0.9699,-0.95,-0.7021,-0.8333,-0.6934,-0.7429,-0.6279,-0.8037,-0.7932,-0.7377,-0.723,-0.5103,-0.509,-0.7258,-0.7176,-0.711,-0.581,-0.5772,-0.5144,-0.5411,-0.3998,-0.4418,-0.4968,-0.4508,-0.4349,-0.2542,-0.4124,-0.0779,-0.2956,-0.2849,0.1104,-0.1055,-0.0183,0.0285,0.0619,-0.1148,0.2758,0.082,0.3655
p05,-4.1494,-3.7047,-3.4583,-3.5807,-3.2818,-3.1025,-3.0598,-2.3696,-2.1365,-2.2141,-1.9338,-2.1281,-1.8158,-1.6716,-1.7218,-1.5999,-1.7121,-1.6773,-1.4327,-1.2169,-1.2976,-1.3379,-1.0888,-1.1698,-1.0777,-1.2066,-1.0625,-0.8991,-0.6927,-0.8433,-1.1891,-0.9178,-0.8989,-0.5428,-0.5443,-3.1661,-2.7522,-2.3368,-2.296,-2.0625,-2.2264,-2.4209,-2.0787,-1.8606,-1.7436,-1.7321,-2.0648,-1.5597,-1.5108,-1.7689,-1.6542,-1.5333,-1.6021,-1.3717,-1.4438,-1.3368,-1.3121,-1.1257,-1.1784,-0.9996,-0.9673,-0.9401,-1.0216,-0.8834,-1.2962,-0.728,-1.0611,-0.6962,-0.6106,-0.4275,-2.3963,-2.3348,-2.4667,-2.258,-2.44,-1.9778,-2.2167,-1.99,-1.92,-1.9244,-2.1439,-1.9302,-1.9519,-2.1971,-1.9799,-1.9985,-1.9586,-1.9885,-1.7821,-1.7323,-1.8903,-1.6736,-1.7856,-1.8653,-1.8105,-1.5575,-1.8623,-1.5487,-1.815,-1.9455,-1.7666,-1.5735,-1.5625,-1.6492,-1.6435,-1.3269,-1.4672,-1.3225,-1.5454,-1.0973,-1.2278,-1.3016,-1.1945,-0.9681,-1.1156,-1.0507,-0.9688,-1.2033,-0.9488,-0.8976
