,CMIP6_0,CMIP6_1,CMIP6_2,CMIP6_3,CMIP6_4,CMIP6_5,CMIP6_6,CMIP6_7,CMIP6_8,CMIP6_9,CMIP6_10,CMIP6_11,CMIP5_0,CMIP5_1,CMIP5_2,CMIP5_3,CMIP5_4,CMIP5_5,CMIP5_6,CMIP5_7,CMIP5_8,CMIP5_9,CMIP5_10,CMIP5_11,CMIP5_12,CMIP5_13,CMIP5_14,CMIP5_15,CMIP5_16,CMIP5_17,CMIP5_18,CMIP5_19,CMIP5_20,CMIP5_21,CMIP5_22,CMIP5_23,CMIP5_24,CMIP5_25,CMIP5_26,CMIP5_27,CMIP5_28,CMIP5_29,CMIP5_30,CMIP5_31,CMIP5_32,CMIP5_33,CMIP5_34,CMIP5_35,CMIP5_36,CMIP5_37,CMIP5_38,stations,GPCCV2018,CRU 4.03,stations,NOAA,ERA20C
mean,-0.8,-0.65,-0.65,-0.6,-0.58,-0.57,-0.55,-0.45,-0.14,-0.0,0.01,0.14,-1.1,-0.94,-0.93,-0.83,-0.71,-0.67,-0.63,-0.56,-0.5,-0.49,-0.49,-0.44,-0.42,-0.39,-0.38,-0.37,-0.34,-0.34,-0.34,-0.33,-0.31,-0.31,-0.28,-0.25,-0.24,-0.2,-0.17,-0.15,-0.09,-0.09,-0.08,0.03,0.05,0.06,0.07,0.11,0.12,0.39,0.42,0.21,-0.04,-0.61,0.02,0.02,0.03
p95,-0.5,-0.11,-0.14,0.22,-0.33,0.02,-0.08,0.53,0.18,0.0,0.31,0.46,-0.66,0.17,-0.28,-0.31,-0.28,-0.31,-0.17,-0.09,-0.02,0.07,-0.12,-0.18,-0.04,0.16,-0.12,0.06,0.12,0.41,0.29,0.15,-0.07,0.14,0.1,0.13,-0.05,0.42,0.07,0.44,0.16,0.38,0.89,0.53,0.56,0.44,0.4,0.54,0.44,0.88,1.16,1.04,0.67,0.16,0.02,0.02,0.03
p05,-1.08,-1.15,-1.17,-1.43,-0.87,-0.9,-0.93,-1.22,-0.93,-0.0,-0.28,-0.19,-1.69,-1.69,-2.0,-1.24,-1.07,-1.02,-1.08,-1.02,-1.13,-0.9,-0.77,-0.68,-0.8,-0.84,-0.69,-0.73,-0.87,-0.87,-0.98,-0.79,-0.61,-0.76,-0.68,-0.74,-0.46,-0.89,-0.54,-0.71,-0.37,-0.67,-0.91,-0.52,-0.35,-0.44,-0.41,-0.41,-0.2,-0.12,-0.09,-0.52,-0.83,-1.48,0.01,0.01,0.02
