,CMIP6_0,CMIP6_1,CMIP6_2,CMIP6_3,CMIP6_4,CMIP6_5,CMIP6_6,CMIP6_7,CMIP6_8,CMIP6_9,CMIP6_10,CMIP6_11,CMIP6_12,CMIP6_13,CMIP6_14,CMIP6_15,CMIP6_16,CMIP6_17,CMIP6_18,CMIP6_19,CMIP6_20,CMIP6_21,CMIP6_22,CMIP6_23,CMIP6_24,CMIP6_25,CMIP6_26,CMIP6_27,CMIP6_28,CMIP6_29,CMIP6_30,CMIP6_31,CMIP6_32,CMIP6_33,CMIP5_0,CMIP5_1,CMIP5_2,CMIP5_3,CMIP5_4,CMIP5_5,CMIP5_6,CMIP5_7,CMIP5_8,CMIP5_9,CMIP5_10,CMIP5_11,CMIP5_12,CMIP5_13,CMIP5_14,CMIP5_15,CMIP5_16,CMIP5_17,CMIP5_18,CMIP5_19,CMIP5_20,CMIP5_21,CMIP5_22,CMIP5_23,CMIP5_24,CMIP5_25,CMIP5_26,CMIP5_27,CMIP5_28,CMIP5_29,CMIP5_30,CMIP5_31,CMIP5_32,CMIP5_33,CMIP5_34,CMIP5_35,CMIP5_36,CMIP5_37,CMIP5_38,MIROC6_0,MIROC6_1,MIROC6_2,MIROC6_3,MIROC6_4,MIROC6_5,MIROC6_6,MIROC6_7,MIROC6_8,MIROC6_9,MIROC6_10,MIROC6_11,MIROC6_12,MIROC6_13,MIROC6_14,MIROC6_15,MIROC6_16,MIROC6_17,MIROC6_18,MIROC6_19,MIROC6_20,MIROC6_21,MIROC6_22,MIROC6_23,MIROC6_24,MIROC6_25,MIROC6_26,MIROC6_27,MIROC6_28,MIROC6_29,MIROC6_30,MIROC6_31,MIROC6_32,MIROC6_33,MIROC6_34,MIROC6_35,MIROC6_36,MIROC6_37,MIROC6_38,MIROC6_39,MIROC6_40,MIROC6_41,MIROC6_42,MIROC6_43,MIROC6_44,MIROC6_45,MIROC6_46,MIROC6_47,MIROC6_48,MIROC6_49
mean,-3.4975,-2.9836,-2.7839,-2.7166,-2.6334,-2.3939,-2.3605,-1.7854,-1.7171,-1.7116,-1.573,-1.4771,-1.3807,-1.3306,-1.2549,-1.1333,-1.1139,-1.029,-0.9993,-0.988,-0.9806,-0.9124,-0.8205,-0.7829,-0.7667,-0.6906,-0.5904,-0.5145,-0.5122,-0.4338,-0.4186,-0.3804,-0.3322,-0.2547,-2.7139,-1.9201,-1.8331,-1.7432,-1.6611,-1.6579,-1.6369,-1.5214,-1.4643,-1.4263,-1.4087,-1.3925,-1.383,-1.3626,-1.2748,-1.2572,-1.1702,-1.1686,-1.1266,-1.1053,-1.0736,-1.0644,-1.0305,-1.0142,-0.9091,-0.8484,-0.847,-0.7896,-0.7714,-0.7536,-0.6426,-0.6264,-0.5948,-0.4758,-0.4199,-0.3894,-0.3693,-0.2645,-0.2427,-1.9073,-1.8735,-1.8277,-1.8255,-1.6703,-1.6062,-1.561,-1.5006,-1.4725,-1.4707,-1.4665,-1.4392,-1.438,-1.424,-1.3522,-1.3348,-1.3309,-1.2728,-1.2536,-1.2486,-1.2422,-1.2403,-1.2202,-1.2194,-1.215,-1.1994,-1.1963,-1.1887,-1.1775,-1.1555,-1.1174,-1.0735,-1.053,-0.9897,-0.9334,-0.9268,-0.8991,-0.8674,-0.7725,-0.7419,-0.7354,-0.6652,-0.5556,-0.5393,-0.5381,-0.518,-0.4477,-0.3904,-0.3571,-0.3296
p95,-3.0514,-2.4246,-2.259,-1.9271,-1.7416,-0.9094,-1.6066,-1.1965,-1.3735,-1.2462,-1.2528,-0.9915,-0.8972,-1.0321,-0.7199,-0.5372,-0.7069,-0.616,-0.8279,-0.7087,-0.6551,-0.636,-0.4884,-0.4797,-0.3974,-0.4156,-0.1982,-0.3059,-0.1435,0.0812,-0.0798,0.1626,-0.1581,0.0882,-2.0412,-1.2807,-1.3861,-0.9469,-1.2615,-1.306,-0.9529,-0.7264,-0.8146,-0.823,-0.5451,-1.0017,-1.0705,-0.8784,-0.4284,-0.9769,-0.7934,-0.4093,-0.4651,-0.5735,-0.6124,-0.5522,-0.6739,-0.7123,-0.5272,-0.363,-0.6694,-0.402,-0.4137,-0.4775,-0.4264,-0.2577,-0.2526,0.1068,-0.1446,0.2374,-0.0297,0.1587,-0.0619,-1.3864,-1.4077,-1.1942,-1.4034,-0.8467,-1.114,-0.4718,-0.9244,-0.8661,-0.5802,-0.971,-1.014,-1.1595,-0.7043,-0.777,-0.6574,-0.741,-0.6221,-0.6727,-0.5941,-0.8903,-0.9008,-0.6071,-0.5742,-0.4353,-0.6778,-0.7904,-0.6044,-0.7112,-0.474,-0.4411,-0.5125,-0.5746,-0.2757,-0.4706,-0.2184,-0.2488,-0.3867,0.1615,-0.235,-0.2557,0.0272,0.2219,-0.1043,-0.0744,-0.0879,0.024,0.1928,0.0873,0.3139
p05,-4.1798,-3.5429,-3.382,-3.3317,-3.464,-3.2196,-2.8994,-2.2644,-2.19,-2.1596,-1.9597,-2.1735,-1.8652,-1.6014,-1.7703,-1.7362,-1.6516,-1.3406,-1.2139,-1.3455,-1.2968,-1.1054,-1.1708,-1.133,-1.2393,-0.9744,-1.0029,-0.7383,-0.838,-1.0025,-0.6992,-0.8351,-0.5743,-0.5742,-3.2225,-2.6023,-2.4552,-2.3025,-2.1367,-2.0378,-2.3445,-2.4468,-2.0812,-1.8996,-2.1415,-1.8223,-1.8648,-1.7048,-2.6142,-1.5158,-1.6719,-1.7256,-1.9891,-1.5661,-1.5081,-1.7525,-1.258,-1.3333,-1.2839,-1.3131,-1.1175,-1.0939,-1.2265,-0.961,-0.9149,-1.0341,-0.8767,-1.3175,-0.838,-1.0672,-0.8279,-0.6301,-0.4396,-2.3662,-2.3603,-2.4881,-2.1419,-2.3489,-2.0697,-2.0997,-2.0077,-1.9935,-1.9367,-1.9916,-1.9108,-1.956,-2.1444,-1.8915,-2.1872,-1.7721,-1.7659,-1.6827,-1.9315,-1.6601,-1.6384,-1.6508,-1.6144,-1.8553,-1.8709,-1.724,-1.4785,-1.7695,-2.05,-1.7478,-1.7047,-1.679,-1.5398,-1.7655,-1.4378,-1.6627,-1.4171,-1.6894,-1.2653,-1.335,-1.372,-1.1559,-1.1987,-1.2059,-0.9094,-0.863,-0.9104,-0.8925,-0.9879
